ID,Title,Abstract,Text,Topic type,Categories,Author,Date added,Version date,Note
1,Verbrauchsdatum einhalten,,Frisches Fleisch ist immer mit einem Verbrauchsdatum versehen. Anders als ein Mindesthaltbarkeitsdatum müssen diese Produkte bis zu diesem Verbrauchsdatum verarbeitet sein.,refrigerator_storage,Fresh meats,Micha Gattinger,2020-08-05,2020-08-22,
2,Verdorbenes Fleisch erkennen,,"##  Farbe

Der Farbton von frischem Fleisch ist rötlich. Verfärbt sich frisches Fleisch gräulich, kann eine chemische Reaktion stattgefunden haben, welche sich nicht auf Geschmack oder Frische der Ware auswirkt. Das Protein Myoblobin ist ein in der Muskulatur vorhandener, als Sauerstoffspeicher dienender roter Farbstoff. Fehlt Sauerstoff, oxidiert dieser zu Metmyoglobin, das im Fleisch enthaltene Eisen verfärbt sich. Kommen diese Stellen mit Sauerstoff in Verbindung, geht diese Verfärbung innerhalb von einigen Minuten merklich zurück (1,3).

Bei vielen Fleischprodukten wird durch Zusatzstoffe oder mit durch Spezialgas gefüllte Schutzverpackungen (High O2-MAP) die natürliche Rötung erhöht und verlängert. Hier ist die Färbung künstlich und sagt nichts über die Frische aus. Färbt sich Fleisch grau, ist das ein Zeichen dafür, dass keine Zusatzstoffe verwendet worden sind (2). 

Bei tiefgefrorenem, rohem Fleisch kann es zu weißen Stellen am Fleisch kommen (Gefrierbrand). Die Textur ähnelt einem trockenem Schwamm und wird durch die Verdunstung von Wasser im Gewebe verursacht. Gefrierbrand ist unbedenklich für die Gesundheit.

## Austretende Flüssigkeit

Um das Verkaufsgewicht zu erhöhen wird oft Wasser in das Fleisch gespritzt. Tritt roter Saft aus dem Fleisch aus, ist das kein Blut sondern Wasser vermischt mit dem Protein Myoglobin. 

## Geruch

Frisches Fleisch ist geruchslos. Muffiger, süßlicher oder derb säuerlicher Geruch sind sichere Anzeichen von verdorbenem rohen Fleisch.",assessment,Fresh meats,Micha Gattinger,2020-08-05,2020-08-22,
3,Verdorbenen Fisch erkennen,,"## Optische Merkmale

* *Augen.* Frischer Fisch hat helle, klare, leicht vorgewölbte Augen mit dunklen Pupillen. Verfärbte, eingesunkene Augen sind klare Anzeichen für schlechten Fisch. 

* *Fleisch.* In der Regel hat das Fleisch eine hellrosa oder weiße Farbe mit einem klaren Flüssigkeitsfilm. Fängt der Fisch an zu verderben bekommt das Fleisch eine milchige Farbe mit zum Teil grau-blauen Verfärbungen

* *Haut.* Frische Fischhaut ist mit einer klaren Schleimschicht überzogen. Milchiger Schleim ist ein Indiz für schlechten Fisch.

* *Kiemen.* Diese glänzen, sind innen hellrot und liegen bei einem frischen Fisch fest an. Schleim in den Kiemenblättchen und  gelb- braune Verfärbungen sind Anzeichen von Verfall.

## Geruch

Frischer Fisch riecht je nach Art nach See, Meer oder Bach, nie fischig. Je mehr der Fisch fischig riecht, umso älter und ungenießbarer ist er.",assessment,Raw fishes,Micha Gattinger,2020-08-05,2020-08-22,
4,Das Alter beurteilen,,"Legefrische Eier erlangen nach drei Tagen für 14 Tage ihr volles Aroma. Danach verändert sich langsam die Konsistenz. Ein unsichtbarer Mantel auf der Schale und Enzyme im Eiklar sorgt für einen natürlichen Selbstschutz gegen die Vermehrung von Keimen. Dieser Schutz mag keine extremen Temperaturschwankungen, Sonne und Feuchtigkeit. 

Hier gibt es drei einfache Tests um die Frische von Eier zu bestimmen:

. *Schwimmtest.* Mit der Zeit sammelt sich Luft im Inneren eines Eies. In einem frischen Ei ist noch keine Luft eingedrungen. So sinkt es im kalten Wasser immer auf den Boden. 2-3 Wochen alte Eier stellen sich teilweise auf oder schwimmen schon im Wasser. Schwimmen Eier unter der Wasseroberfläche, ist das MHD von 28 Tagen erreicht. 

. *Schütteltest.* Mit der Zeit wird das Eiklar dünnflüssiger. Dies verursacht dem Schütteln glucksende Geräusche.

. *Aufschlagtest.* Frische Eier haben ein hochgewölbtes Dotter. Das Eiklar ist am Dotter geleeartig mit dünnerem herum, Dotter und Eiklar sind klar getrennt. Mit dem Alter flacht das Dotter ab und verliert an Farbe. Das Eiklar wird dünnflüssiger und vermischt sich mit dem Dotter.

https://rp.baden-wuerttemberg.de/Themen/Lebensmittel/Seiten/Eiertest.aspx[Quelle]",assessment,Raw egg,Micha Gattinger,2020-08-05,2020-08-25,
5,Überalterte Eier verwenden,,"Das Mindesthaltbarkeitsdaym für rohe Eiern beträgt 28 Tage ab Legedatum.

Sofern überalterte Eier geruchsfrei und optisch noch in Ordnung sind, können diese noch zum Backen genommen werden. Die hohe Backtemperatur und Backdauer tötet Keime und Salmonellen sicher ab. (S. 1.3)

https://rp.baden-wuerttemberg.de/Themen/Lebensmittel/Seiten/Eiertest.aspx[Quelle]",post_spoilage,Raw egg,Micha Gattinger,2020-08-05,2020-08-22,
6,Einfrieren,,"Rohe Eier lassen sich nicht mit Schale einfrieren. Ein rohes Ei enthält viel Wasser. Beim Einfrieren dehnt sich dieses aus und sorgt für ein Aufplatzen der Schale.

Eigelb und Eiweiß aufgeschlagener roher Eier können aber in Behältern ohne weiteres eingefroren werden.",preservation,Raw egg,Micha Gattinger,2020-08-05,2020-08-22,
7,Kochen,,"Für eine lange Haltbarkeit müssen Eier in kochendem Wasser 10-12 Minuten hart gekocht werden. Die Eierschale nicht beschädigen, nur unbeschädigte Schalen gewährleisten einen Schutz vor Keime von Außen. Die gekochten Eier nicht abschrecken, denn hierbei bilden sich kleinste Spannungsrisse in der Schale welche das Eindringen von Keimen und Salmonellen begünstigen. So gekochte Eier können bis zu einem Monat bei Zimmertemperatur gelagert werden.

https://www.fitforfun.de/wissen/wie-lange-sind-gekochte-eier-haltbar-254273.html[Quelle]",preservation,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
8,Schwefelgeruch,,"Verdorbene gekochte Eier entwickeln einen unangenehmen Schwefelgeruch.

https://www.fitforfun.de/wissen/wie-lange-sind-gekochte-eier-haltbar-254273.html[Quelle]",assessment,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
9,Verfärbung des Dotters,,"Durchgekochte Eier bilden einen ungefährlichen blau-grünen Ring um das Dotter. Hier reagiert Eisen aus dem Dotter mit Schwefelwasserstoff aus dem Eiklar zu Schwefelsulfid.

https://www.fitforfun.de/wissen/wie-lange-sind-gekochte-eier-haltbar-254273.html[Quelle]",symptoms,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
10,Nicht zum Einfrieren geeignet,,Ganze gekochte Eier sind zum Einfrieren nicht geeignet da sich das Eiweiß verändert. Hartgekochte Eidotter lassen sich in einer luftdichten Verpackung gut einfrieren,freezer_storage,Boiled eggs,Micha Gattinger,2020-08-05,2020-08-22,
